Name,Address,City,Postcode,Latitude,Longitude
One Medical Pharmacy,102-20 Wynford Dr,Toronto,M3C 1J4,43.72397,-79.33633
One Pharmacy,5292 Yonge Street,Toronto,M2N 5P9,43.772414,-79.414043
Ossington Medical Pharmacy,836 Bloor Street West,Toronto,M6G 1M2,43.662584,-79.423793
Pace Pharmacy,14 Isabella St,Toronto,M4Y 1N1,43.66793,-79.38509
Pape Drug Mart,751 Pape Ave,Toronto,M4K 3T1,43.680315,-79.345074
Parkdale Guardian Drugs,1488 Queen St West,Toronto,M6K 1M4,43.64066,-79.43772
Parkdale Pharmacy,1439 King St West,Toronto,M6K 1H9,43.63755,-79.43285
Parkside Remedy Rx,1640 Bloor St W,Toronto,M6P 1A7,43.655692,-79.45649
Parliament Pharmacy,402 Parliament St,Toronto,M5A 2Z7,43.661769,-79.367266
Peoples Choice Remedy'S Rx,1145 Morningside Av. Unit #16,Toronto,M1B 0A7,43.808538,-79.202533
Peoples Drug Mart,491 Lawrence Ave West,Toronto,M5M 1C7,43.718804,-79.431663
Peoples Drug Mart,294 Main Street,Toronto,M4C 4X5,43.68782,-79.30198
Pharma Centre Pharmacy,2299 Dundas Street W,Toronto,M6R 1X7,43.655557,-79.452653
Pharma Plus,23-55 Bloor St W,Toronto,M4W 1A5,43.669641,-79.388688
Pharma Plus,288 Sheppard Ave,Toronto,M2N 3B1,43.76533,-79.392786
Pharma Plus,325 Moore Ave,Toronto,M4G 3T6,43.696969,-79.369508
Pharma Plus,3402 Yonge St,Toronto,M4N 2M9,43.733021,-79.404505
Pharma Plus,C216-777 Bay St,Toronto,M5G 2C8,43.66064,-79.38538
Pharmacare Drug Mart,959 Broadview Avenue,Toronto,M4K 2R5,43.682707,-79.357026
Pharmacia Seifein Pharmacy,553 St Clair Ave West,Toronto,M6C 1A3,43.68292,-79.41949
Pharma-Cita,4810 Sheppard Ave East Unit 224,Toronto,M1S 4N6,43.78231,-79.29363
Pharmacy By The Grange,Unit 9 & 10 275 Dundas Street W.,Toronto,M5T 1G1,43.654305,-79.390455
Pharmacy Zen,6-4234 Lawrence Ave E,Toronto,M1E 2S5,43.769575,-79.180966
Pharmacy.Ca,311 Sherbourne Street,Toronto,M5A 3Y1,43.66148,-79.37186
Pharmadocs,199 Church St. Lower Level,Toronto,M5B 1Y7,43.655703,-79.376497
Pharmadocs,4972 Dundas Street West,Toronto,M9A 1B7,43.647468,-79.530264
